Organisation Name,Effective Date,Property ID,Property Type,Property Name,Property Name/Address (Where no UPRN),Street Number,Street,Town / Post Town,Postcode,Ward,Geo X (Easting),Geo Y (Northing),Tenure Type,Vacant,Holding Type,Building Size - GIA (M2),Site Area (Hectares),Occupied by Council / Direct Service Property,Purpose / Asset Category
"Bristol, City of",2/2/2024,1931,Land-Industrial,Albert Crescent - Land At,Albert Crescent - Land At St Philips Bristol,,Albert Crescent,Bristol,BS2 0SU,Lawrence Hill,360475,172230,Freehold,,Land only,,0.141707,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,1941,Land-Car/Lorry Park,Brislington Park And Ride Site,Brislington Park And Ride Site Bath Road Brislington Bristol BS14 5LR,,Stockwood Road,Bristol,BS14 5LR,Brislington West,362757,170016,Freehold,,Land and Building(s),147,5.270843,Yes,Direct Service
"Bristol, City of",2/2/2024,1990,Offices,Castlemead,Castlemead Lower Castle Street City Centre Bristol BS1 3AG,,Lower Castle Street,Bristol,BS1 3AG,Central,359427,173277,Freehold,,Land and Building(s),13500,0.165689,,Investment Properties
"Bristol, City of",2/2/2024,116289,Offices,Fishponds Health Centre,Fishponds Health Centre Beechwood Road Fishponds Bristol BS16 3TD,,Beechwood Road,Bristol,BS16 3TD,Frome Vale,363511,175802,Informal Agreement,,Building(s) only,,0.000313,Yes,Direct Service
"Bristol, City of",2/2/2024,10315,Industrial/Workshop,Big Yellow Self Storage,Big Yellow Self Storage Barrow Road Barton Hill Bristol BS5 0AE,,Barrow Road,Bristol,BS5 0AE,Lawrence Hill,360524,173023,Freehold,,Land and Building(s),,0.600489,,Investment Properties
"Bristol, City of",2/2/2024,1885,Land-Car/Lorry Park,Queens Parade - St George C Of E VC Staff Car Park,Queens Parade - St George C Of E VC Staff Car Park Queens Parade Brandon Hill Bristol BS1 5XJ,,,,BS1 5XJ,Hotwells & Harbourside,357933,172638,Freehold,,Land only,,0.011963,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,1898,Primary School,St George C Of E VC Primary School Annexe,St George C Of E VC Primary School Annexe York Place City Centre Bristol BS1 5UT,,Queens Parade,Bristol,BS1 5UT,Hotwells & Harbourside,358040,172694,Education Acts Agt,,Building(s) only,,0,Yes,Direct Service
"Bristol, City of",2/2/2024,84098,Day Nursery,Thicket Avenue - Community Nursery,Thicket Avenue - Community Nursery Thicket Avenue Fishponds Bristol BS16 4EH,,Thicket Avenue,Bristol,BS16 4EH,Hillfields,364000,175225,Freehold,,Land only,,0.092959,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,1007,Childrens Homes,2 Witch Hazel Road,2 Witch Hazel Road Hartcliffe Bristol BS13 0QE,2,Witch Hazel Road,Bristol,BS13 0QE,Hengrove & Whitchurch Park,359212,167321,Freehold,,Land and Building(s),234,0.069034,Yes,Direct Service
"Bristol, City of",2/2/2024,1008,Primary School,Bridge Farm Primary School,Bridge Farm Primary School East Dundry Road Whitchurch Bristol BS14 0LL,,East Dundry Road,Bristol,BS14 0LL,Hengrove & Whitchurch Park,360395,167559,Freehold Reversion,,Land and Building(s),3582.7,2.336011,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,936,Youth Club/Centre,Hartcliffe Club For Young People,Hartcliffe Club For Young People Gatehouse Avenue Hartcliffe Bristol BS13 9AE,,Gatehouse Avenue,Bristol,BS13 9AE,Hartcliffe & Withywood,357459,168180,Leasehold,,Building(s) only,158.6,0.21672,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,937,Primary School,St Pius X RC VA Primary School - School Buildings,St Pius X RC VA Primary School - School Buildings Gatehouse Avenue Withywood Bristol BS13 9AB,,Gatehouse Avenue,Bristol,BS13 9AB,Hartcliffe & Withywood,357100,168096,Education Acts Agt,,Building(s) only,1495,0.563277,Yes,Direct Service
"Bristol, City of",2/2/2024,938,House/Houses,St Pius X RC VA Primary School House,St Pius X RC VA Primary School House Gatehouse Avenue Withywood Bristol BS13 9AB,,Gatehouse Avenue,Bristol,BS13 9AB,Hartcliffe & Withywood,357100,168096,Education Acts Agt,,Land and Building(s),,0.044093,Yes,Direct Service
"Bristol, City of",2/2/2024,945,Community Centre/Facilities,Hengrove Community Centre,Hengrove Community Centre Fortfield Road Hengrove Bristol BS14 9NX,,Fortfield Road,Bristol,BS14 9NX,Hengrove & Whitchurch Park,360710,168749,Freehold,,Land and Building(s),428.98,0.151302,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,946,Community Centre/Facilities,Fortfield Road - Former Youth Centre Building,Fortfield Road - Former Youth Centre Building Hengrove Bristol BS14 9NX,,Fortfield Road,Bristol,BS14 9NX,Hengrove & Whitchurch Park,360721,168781,Freehold,,Land and Building(s),277.1,0.083884,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,949,House/Houses,St Bernadettes RC VA Primary School House,St Bernadettes RC VA Primary School House 17 Gladstone Road Hengrove Bristol BS14 9LP,17,Gladstone Road,Bristol,BS14 9LP,Hengrove & Whitchurch Park,360909,168735,Education Acts Agt,,Building(s) only,,0.045447,Yes,Direct Service
"Bristol, City of",2/2/2024,950,House Service Occupancy,St Bernadettes RC SA Secondary School House,St Bernadettes RC SA Secondary School House Fossedale Avenue Hengrove Bristol BS14 9LS,,Fossedale Avenue,Bristol,BS14 9LS,Hengrove & Whitchurch Park,360969,168732,Freehold,,Land and Building(s),,0.0488,Yes,Direct Service
"Bristol, City of",2/2/2024,139020,Land-Residential,Fulford Road - Land Rear Of,,,,,BS13 ,Hartcliffe & Withywood,,,Freehold,Vacant,Land only,,0.121965,Yes,Direct Service
"Bristol, City of",2/2/2024,4042,Land-Cemetery,St Michaels Churchyard,St Michaels Churchyard Disused Burial Ground St Michaels Hill Kingsdown Bristol,,Upper Church Lane,Bristol,BS2 8FN,Central,358535,173287,Maintenance Obligation,,Land only,,0.0092,Yes,Community
"Bristol, City of",2/2/2024,972,Primary School,Waycroft Academy ,Waycroft Academy  Selden Road  Stockwood  Bristol  BS14 8PS,,Selden Road,Bristol,BS14 8PS,Stockwood,362215,168343,Freehold Reversion,,Land and Building(s),2573,3.007464,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,973,House/Houses,Waycroft Academy House,Waycroft Academy House Selden Road Stockwood Bristol BS14 8PS,,Selden Road,Bristol,BS14 8PS,Stockwood,362193,168384,Freehold Reversion,,Land and Building(s),84.1,0.058564,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,976,Land/Bldgs held for Development,Former Greville EPH (PwD),,,,,BS14 ,Stockwood,,,Freehold,Vacant,Land and Building(s),,0.695638,,Surplus / Non-operational / Under Review
"Bristol, City of",2/2/2024,978,Primary School,Merchants Academy Primary School,Merchants Academy Primary School Withywood Road Withywood Bristol BS13 9AX,,Withywood Road,Bristol,BS13 9AX,Hartcliffe & Withywood,357012,167875,Freehold Reversion,,Land and Building(s),3100.3,2.337226,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,985,House/Houses,Four Acres Primary School House,Four Acres Primary School House 93 Four Acres Withywood Bristol BS13 8RB,93,Four Acres,Bristol,BS13 8RB,Hartcliffe & Withywood,356375,167849,Freehold,,Land and Building(s),,0.0327,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,988,Residential Home,199 Newland Road,199 Newland Road Hartcliffe Bristol BS13 9DT,199,Newland Road,Bristol,BS13 9DT,Hartcliffe & Withywood,357614,167539,Freehold,,Land and Building(s),316.5,0.1177,,Surplus / Non-operational / Under Review
"Bristol, City of",2/2/2024,994,Primary School,Wansdyke Primary Academy School,Wansdyke Primary Academy School School Close Whitchurch Bristol BS14 0DU,,School Close,Bristol,BS14 0DU,Hengrove & Whitchurch Park,359736,167686,Freehold Reversion,,Land and Building(s),1190.7,1.218631,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,995,Day Nursery,Former School House - Whitchurch Day Nursery,Former School House - Whitchurch Day Nursery 1 School Close Whitchurch Bristol BS14 0DU,1,School Close,Bristol,BS14 0DU,Hengrove & Whitchurch Park,359725,167725,Freehold,,Land and Building(s),92,0.03667,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,1000,House Service Occupancy,Teyfant Primary School (Former) - School House,Teyfant Primary School (Former) - School House Teyfant Road Hartcliffe Bristol BS13 0RG,,Teyfant Road,Bristol,BS13 0RG,Hengrove & Whitchurch Park,359046,167537,Freehold,,Land and Building(s),,0.027271,Yes,Direct Service
"Bristol, City of",2/2/2024,1148,Primary School,Willow Park CE VC School - School Buildings ,Willow Park CE VC School - School Buildings  Park Lane Bristol BS2 8BE,,Park Lane,Bristol,BS2 8BE,Central,358481,173230,Education Acts Agt,,Building(s) only,843.58,0.116192,Yes,Direct Service
"Bristol, City of",2/2/2024,1470,Land-Car/Lorry Park,McAdam Way Public Car Park,McAdam Way Public Car Park Brunswick Place Hotwells Bristol,,Brunswick Place,Bristol,BS1 6XL,Hotwells & Harbourside,356965,172225,Freehold,,Land only,,0.059855,Yes,Direct Service
"Bristol, City of",2/2/2024,138638,Library,Bishopston Library,Bishopston Library 100A Gloucester Road Bishopston Bristol BS7 8BN,100,Gloucester Road,Bristol,BS7 8BN,Redland,359009,175291,Freehold,,Land and Building(s),730.2,0.09835,Yes,Direct Service
"Bristol, City of",2/2/2024,1358,Land-Verge,Wedmore Vale - Land Fronting 32,Wedmore Vale - Land Fronting 32 Wedmore Vale Bedminster Bristol,32,Wedmore Vale,Bristol,BS3 5HX,Filwood,359117,170765,Freehold,,Land only,,0.0016,,Infrastructure
"Bristol, City of",2/2/2024,1010,Community Centre/Facilities,Whitchurch Folk Centre,Whitchurch Folk Centre East Dundry Road Whitchurch Bristol BS14 0LN,,East Dundry Road,Bristol,BS14 0LN,Hengrove & Whitchurch Park,360392,167478,Freehold,,Land and Building(s),404.2,0.317724,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,1014,Special School,Lansdown Park Secondary Specialist Provision Academy,Lansdown Park Secondary Specialist Provision Academy Stockwood Lane Stockwood Bristol BS14 8SJ,,Stockwood Lane,Bristol,BS14 8SJ,Stockwood,362202,167897,Freehold Reversion,,Land and Building(s),1010,1.722647,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,1015,Youth Club/Centre,BS14 Youth Club,BS14 Youth Club Stockwood Lane Bristol BS14 8SJ,,Stockwood Lane,Bristol,BS14 8SJ,Stockwood,362261,167789,Freehold,,Land and Building(s),601,0.424533,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,1029,Primary School,Hareclive Primary School,Hareclive Primary School Moxham Drive Hartcliffe Bristol BS13 0HP,,Moxham Drive,Bristol,BS13 0HP,Hartcliffe & Withywood,358190,167659,Freehold,,Land and Building(s),3150.76,2.353481,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,1030,Nursery School,Hartcliffe Nursery School And Childrens Centre,Hartcliffe Nursery School And Childrens Centre Hareclive Road Hartcliffe Bristol BS13 0JW,,Hareclive Road,Bristol,BS13 0JW,Hartcliffe & Withywood,358261,167734,Freehold,,Land and Building(s),1394.62,0.654792,Yes,Direct Service
"Bristol, City of",2/2/2024,1033,Community Centre/Facilities,Hareclive Youth Centre,Hareclive Youth Centre Moxham Drive Hartcliffe Bristol BS13 0HP,,Moxham Drive,Bristol,BS13 0HP,Hartcliffe & Withywood,358177,167741,Freehold,,Land and Building(s),614,0.202174,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,1034,Community Centre/Facilities,Hartcliffe Community House,Hartcliffe Community House Hareclive Road Hartcliffe Bristol BS13 0JW,,Hareclive Road,Bristol,BS13 0JW,Hartcliffe & Withywood,358173,167688,Freehold,,Land and Building(s),1166.8,0.275683,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,1040,Community Centre/Facilities,Greenway Centre,Greenway Centre Doncaster Road Southmead Bristol BS10 5PY,,Doncaster Road,Bristol,BS10 5PY,Southmead,357790,178000,Freehold,,Land and Building(s),4923.79,3.827224,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,1041,Primary School,Badocks Wood E-ACT Academy,Badocks Wood E-ACT Academy Doncaster Road Southmead Bristol BS10 5PU,,Doncaster Road,Bristol,BS10 5PU,Southmead,357760,177982,Freehold Reversion,,Land and Building(s),2812.19,2.113666,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,1045,Library,Henbury Library,Henbury Library 179 Crow Lane Henbury Bristol BS10 7DR,,Crow Lane,Bristol,BS10 7DR,Henbury & Brentry,357107,179160,Freehold,,Land and Building(s),436,0.105793,Yes,Direct Service
"Bristol, City of",2/2/2024,1049,House/Houses,Stoke Bishop CE VC School House,Stoke Bishop CE VC School House 18 Lyndale Avenue Stoke Bishop Bristol BS9 1BS,18,Lyndale Avenue,Bristol,BS9 1BS,Stoke Bishop,355638,176304,Freehold,,Land and Building(s),96.7,0,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,802,House/Houses,West Town Lane Caretakers House,West Town Lane Caretakers House 98 West Town Lane Bristol BS4 5DT,,,,BS4 5DT,Stockwood,361538,170101,Freehold,,Land and Building(s),80.1,0.101694,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,809,Store/Depot/Warehouse,801 Bath Road,801 Bath Road Brislington Bristol BS4 5NL,801,Bath Road,Bristol,BS4 5NL,Brislington East,362231,170485,Freehold,,Land and Building(s),0,0.21535,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,710,Flat/Flats,Holy Cross RC VA Primary School Flat,Holy Cross RC VA Primary School Flat Dean Lane Bedminster Bristol BS3 1DB,14,Withey Close West,Bristol,BS3 1DB,Southville,358396,171788,Education Acts Agt,,Building(s) only,,0.000313,Yes,Direct Service
"Bristol, City of",2/2/2024,713,Community Centre/Facilities,ACTA,ACTA Gladstone Street Bedminster Bristol BS3 3LU,,Gladstone Street,Bristol,BS3 3LU,Bedminster,358026,171319,Freehold,,Land and Building(s),,0.168042,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,715,House/Houses,Compass Point Primary School House,,,,,BS3 ,Bedminster,,,Freehold,Vacant,Land and Building(s),83.65,0.012301,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,132885,Childrens Centre,Whitchurch Childrens Centre,Whitchurch Childrens Centre Whitchurch Health Centre - Rooms At Armada Road Whitchurch Bristol BS14 0SU,,,,BS14 0SU,Hengrove & Whitchurch Park,360325,168425,Licence,,Building(s) only,,0.000313,Yes,Direct Service
"Bristol, City of",2/2/2024,732,Primary School,Hillcrest Primary School,Hillcrest Primary School School Road Knowle Bristol BS4 3BW,,Cemetery Road,Bristol,BS4 3BW,Windmill Hill,360197,171408,Freehold,,Land and Building(s),2021.38,0.538212,Yes,Direct Service
"Bristol, City of",2/2/2024,739,Store/Depot/Warehouse,Brislington Transport Depot,Brislington Transport Depot Bath Road / Sandy Park Road Brislington Bristol BS4 3EZ,,Bath Road,Bristol,BS4 3EZ,Brislington West,361301,171633,Freehold,,Land and Building(s),10213.3,2.352027,Yes,Direct Service
"Bristol, City of",2/2/2024,744,Library,Wick Road Library,Wick Road Library Wick Road Brislington Bristol BS4 4HE,,Wick Road,Bristol,BS4 4HE,Brislington East,361752,171289,Freehold,,Land and Building(s),209.3,0.0583,Yes,Direct Service
"Bristol, City of",2/2/2024,746,Primary School,Holymead Primary School - Junior Site,Holymead Primary School - Junior Site Wick Road Brislington Bristol BS4 4HB,,Wick Road,Bristol,BS4 4HB,Brislington West,361714,171127,Freehold,,Land and Building(s),2786,0.958276,Yes,Direct Service
"Bristol, City of",2/2/2024,747,House Service Occupancy,Holymead School House,Holymead School House Rossall Road Brislington Bristol BS4 3NR,,Rossall Road,Bristol,BS4 3NR,Brislington West,361675,171168,Freehold,,Land and Building(s),116.2,0.012546,Yes,Direct Service
"Bristol, City of",2/2/2024,754,Primary School,Broomhill Junior School,Broomhill Junior School Allison Road Brislington Bristol BS4 4NZ,,Allison Road,Bristol,BS4 4NZ,Brislington East,362680,171253,Freehold,,Land and Building(s),1978.6,1.782695,Yes,Direct Service
"Bristol, City of",2/2/2024,755,Primary School,Broomhill Infants School,Broomhill Infants School Fermaine Avenue Brislington Bristol BS4 4UY,,Fermaine Avenue,Bristol,BS4 4UY,Brislington East,362738,171300,Freehold,,Land and Building(s),1307.6,0.608199,Yes,Direct Service
"Bristol, City of",2/2/2024,759,Special School,40 School Road,40 School Road Brislington Bristol BS4 4NN,40,School Road,Bristol,BS4 4NN,Brislington East,362358,171304,Freehold,,Land and Building(s),302.8,0.296403,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,760,Community Centre/Facilities,Ashton Vale Community Centre,Ashton Vale Community Centre Risdale Road Ashton Vale Bristol BS3 2QY,,Risdale Road,Bristol,BS3 2QY,Bedminster,356615,170499,Freehold,,Land and Building(s),259.3,0.140005,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,660,Nursery School,St Philips Marsh Nursery School,St Philips Marsh Nursery School Albert Crescent St Philips Bristol BS2 0SU,,Albert Crescent,Bristol,BS2 0SU,Lawrence Hill,360536,172193,Freehold,,Land and Building(s),714,0.247851,Yes,Direct Service
"Bristol, City of",2/2/2024,663,Special School,Meriton Centre,Meriton Centre Meriton Street St Philips Marsh Bristol BS2 0SU,,Meriton Street,Bristol,BS2 0SU,Lawrence Hill,360531,172212,Freehold,,Land and Building(s),404.8,0.079199,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,138989,Primary School,Chester Park Junior School,Chester Park Junior School Abingdon Road Fishponds Bristol BS16 3NX,,Abingdon Road,Bristol,BS16 3NX,Hillfields,363121,175027,Freehold,,Land and Building(s),2100,1.50657,Yes,Direct Service
"Bristol, City of",2/2/2024,673,Primary School,The Kingfisher School,The Kingfisher School Lichfield Road St Annes Park Bristol BS4 4BJ,,Lichfield Road,Bristol,BS4 4BJ,Brislington East,362358,172458,Freehold,,Land and Building(s),1554.31,0.79084,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,674,House/Houses,The Kingfisher School House,The Kingfisher School House Lichfield Road St Annes Park Bristol BS4 4BJ,,,,BS4 4BJ,Brislington East,362329,172510,Freehold,,Land and Building(s),81.3,0.065707,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,678,Cafe/Restaurant,Lockside Cafe Restaurant,Lockside Cafe Restaurant 1 Brunel Lock Road Hotwells Bristol BS1 6XS,,,,BS1 6XS,Hotwells & Harbourside,356774,172261,Freehold,,Land and Building(s),160,0.053901,,Investment Properties
"Bristol, City of",2/2/2024,689,Primary School,Southville Primary School,Southville Primary School Myrtle Annexe Myrtle Street Southville Bristol BS3 1JG,,Myrtle Street,Bristol,BS3 1JG,Southville,357779,171521,Freehold,,Land and Building(s),1941,0.625031,Yes,Direct Service
"Bristol, City of",2/2/2024,692,Primary School,Ashton Gate Primary School,Ashton Gate Primary School Ashton Gate Road Ashton Gate Bristol BS3 1SZ,,Ashton Gate Road,Bristol,BS3 1SZ,Southville,357389,171752,Freehold,,Land and Building(s),2929.9,0.552721,Yes,Direct Service
"Bristol, City of",2/2/2024,705,Primary School,Southville Primary School,Southville Primary School Merrywood Road Southville Bristol BS3 1EB,,Merrywood Road,Bristol,BS3 1EB,Southville,358108,171756,Freehold,,Land and Building(s),1364.2,0.339358,Yes,Direct Service
"Bristol, City of",2/2/2024,709,Primary School,Holy Cross RC VA Primary School - School Buildings And Part Of Playing Field,Holy Cross RC VA Primary School - School Buildings And Part Of Playing Field Dean Lane Bedminster Bristol BS3 1DB,,Dean Lane,Bristol,BS3 1DB,Southville,358481,171764,Education Acts Agt,,Land and Building(s),1459.5,0.605571,Yes,Direct Service
"Bristol, City of",2/2/2024,648,Nursery School,Redcliffe Childrens Centre And Maintained Nursery School,Redcliffe Childrens Centre And Maintained Nursery School Ground Floor Spencer House Ship Lane Redcliff Bristol BS1 6RR,,Ship Lane,Bristol,BS1 6RR,Central,359169,172042,Leasehold,,Building(s) only,628,0.138659,Yes,Direct Service
"Bristol, City of",2/2/2024,650,Secondary School,St Mary Redcliffe And Temple CE VA Secondary School,St Mary Redcliffe And Temple CE VA Secondary School Somerset Square Redcliffe Bristol BS1 6RT,,Somerset Square,Bristol,BS1 6RT,Central,359228,172090,Education Acts Agt,,Land and Building(s),23806.7,2.090707,Yes,Direct Service
"Bristol, City of",2/2/2024,654,Primary School,Barton Hill Academy,Barton Hill Academy Queen Ann Road Barton Hill Bristol BS5 9TX,,Queen Ann Road,Bristol,BS5 9TX,Lawrence Hill,360788,172880,Freehold,,Land and Building(s),3413.9,1.542799,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,967,Land-Car/Lorry Park,Harden Road Public Car Park,Harden Road Public Car Park Harden Road Stockwood Bristol BS14 8PL,,Harden Road,Bristol,BS14 8PL,Stockwood,362076,168326,Freehold,,Land only,,0.063931,Yes,Direct Service
"Bristol, City of",2/2/2024,894,Childrens Homes,Silbury House,Silbury House 89 Tarnock Avenue Hengrove Bristol BS14 9RZ,89,Tarnock Avenue,Bristol,BS14 9RZ,Hengrove & Whitchurch Park,360175,169164,Freehold,,Land and Building(s),364.2,0.11399,Yes,Direct Service
"Bristol, City of",2/2/2024,899,Community Centre/Facilities,Sturminster Road Community Centre And Car Park,Sturminster Road Community Centre And Car Park Sturminster Road Stockwood Bristol BS14 8AU,,Sturminster Road,Bristol,BS14 8AU,Stockwood,361587,169084,Freehold,,Land and Building(s),624.9,0.178328,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,909,Land-Housing Non-Council Development,Elm Hays - Land At,Elm Hays - Land At Bedminster Down Bristol BS13 8DD,,,,BS13 8DD,Bishopsworth,356661,168921,Freehold Reversion,,Land only,,0.757383,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,912,House Service Occupancy,St Peters CE VC Primary School House,St Peters CE VC Primary School House Ellfield Close Bishopsworth Bristol BS13 8EF,,Ellfield Close,Bristol,BS13 8EF,Bishopsworth,356844,168745,Freehold,,Land and Building(s),85.3,0.041852,Yes,Direct Service
"Bristol, City of",2/2/2024,919,Community Centre/Facilities,Headley Park Community Centre,Headley Park Community Centre Headley Lane Headley Park Bristol BS13 7NW,,Headley Park Avenue,Bristol,BS13 7NW,Bishopsworth,357634,168949,Freehold,,Land and Building(s),396.8,0.102831,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,920,Primary School,Headley Park Primary School,Headley Park Primary School Headley Lane Headley Park Bristol BS13 7QB,,Headley Lane,Bristol,BS13 7QB,Bishopsworth,357709,168949,Freehold,,Land and Building(s),2328.3,2.271241,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,921,House/Houses,Headley Park Primary School House,Headley Park Primary School House Headley Lane Headley Park Bristol BS13 7QB,,Headley Park Avenue,Bristol,BS13 7QB,Bishopsworth,357738,168990,Freehold,,Land and Building(s),89,0.040756,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,922,Scout/Guide Building Land,Headley Park Primary School - Scout Hut Land,Headley Park Primary School - Scout Hut Land Headley Lane Headley Park Bristol BS13 7QB,,Headley Park Avenue,Bristol,BS13 7QB,Bishopsworth,357735,169031,Freehold,,Land only,0,0.042841,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,570,Secondary School,The City Academy ,The City Academy  Russell Town Avenue  Moorfields Bristol  BS5 9JH,,Russell Town Avenue,Bristol,BS5 9JH,Easton,361105,173625,Freehold Reversion,,Land and Building(s),0,4.649453,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,573,Day Nursery,Easton Community Childrens Centre,Easton Community Childrens Centre Russell Town Avenue Moorfields Bristol BS5 9JF,,Russell Town Avenue,Bristol,BS5 9JF,Easton,361049,173684,Freehold,,Land and Building(s),0,0.159685,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,584,Offices,Redfield House,,,,,BS5 ,Easton,,,Freehold,Vacant,Land and Building(s),161,0.0195,Yes,Direct Service
"Bristol, City of",2/2/2024,588,Primary School,Redfield Educate Together Primary Academy,Redfield Educate Together Primary Academy Avonvale Road Redfield Bristol BS5 9RH,,Avonvale Road,Bristol,BS5 9RH,Easton,361517,173342,Freehold Reversion,,Land and Building(s),,0.4129,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,590,Library,St George Library,St George Library Church Road St George Bristol BS5 8AL,,Church Road,Bristol,BS5 8AL,St George West,362291,173650,Freehold,,Land and Building(s),335.8,0.228075,Yes,Direct Service
"Bristol, City of",2/2/2024,964,Childrens Homes,Lacey House,Lacey House 97 Lacey Road Stockwood Bristol BS14 8NB,97,Lacey Road,Bristol,BS14 8NB,Stockwood,362737,168730,Freehold,,Land and Building(s),211,0.1035,Yes,Direct Service
"Bristol, City of",2/2/2024,965,Scout/Guide Building Land,Harrington Road Scout Premises,Harrington Road Scout Premises Harrington Road Stockwood Bristol BS14 8JZ,,,,BS14 8JZ,Stockwood,362009,168602,Freehold,,Land only,,0.1506,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,966,Library,Stockwood Library,Stockwood Library Stockwood Road Stockwood Bristol BS14 8PL,,Stockwood Road,Bristol,BS14 8PL,Stockwood,362048,168329,Freehold,,Land and Building(s),393,0.105935,Yes,Direct Service
"Bristol, City of",2/2/2024,1151,Primary School,Willow Park CE VC School - Playground No 1 And Amphitheatre,Willow Park CE VC School - Playground No 1 And Amphitheatre Upper Church Lane St Michaels Bristol BS2 8BE,,Park Lane,Bristol,BS2 8BE,Central,358481,173230,Freehold,,Land only,,0.155416,Yes,Direct Service
"Bristol, City of",2/2/2024,1153,House Service Occupancy,Broomhill Junior And Infants School House,Broomhill Junior And Infants School House 217 Allison Road Brislington  Bristol BS4 4PA,217,Allison Road,Bristol,BS4 4PA,Brislington East,362619,171340,Freehold,,Land and Building(s),84.6,0.0186,Yes,Direct Service
"Bristol, City of",2/2/2024,1157,Offices,89-95 Redcliff Street,89-95 Redcliff Street Redcliff Bristol BS1 6LU,,,,BS1 6LU,Central,359079,172520,Freehold Reversion,,Land and Building(s),,0.133438,,Investment Properties
"Bristol, City of",2/2/2024,1422,Land-Car/Lorry Park,Callington Road Public Car Park,Callington Road Public Car Park West Town Lane Brislington Bristol BS4 5BE,,West Town Lane,Bristol,BS4 5BE,Brislington West,362125,170473,Freehold,,Land only,,0.047508,Yes,Direct Service
"Bristol, City of",2/2/2024,828,Library,Bishopsworth Library,Bishopsworth Library Bishopsworth Road Bishopsworth Bristol BS13 7LN,,Bishopsworth Road,Bristol,BS13 7LN,Bishopsworth,357200,169070,Freehold,,Land and Building(s),257,0.147363,Yes,Direct Service
"Bristol, City of",2/2/2024,829,Special School,Knowle DGE Special School,Knowle DGE Special School Leinster Avenue  Knowle  Bristol  BS4 1NN,,Novers Road,Bristol,BS4 1NN,Filwood,358670,169718,Freehold,,Land and Building(s),4493.08,2.758369,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,831,Nursery School,Knowle West Early Years Centre,Knowle West Early Years Centre Leinster Avenue Knowle Bristol BS4 1NN,,Leinster Avenue,Bristol,BS4 1NN,Filwood,358758,169742,Freehold,,Land and Building(s),2199.2,0.678423,Yes,Direct Service
