Organisation Name,Effective Date,Property ID,Property Type,Property Name,Property Name/Address (Where no UPRN),Street Number,Street,Town / Post Town,Postcode,Ward,Geo X (Easting),Geo Y (Northing),Tenure Type,Vacant,Holding Type,Building Size - GIA (M2),Site Area (Hectares),Occupied by Council / Direct Service Property,Purpose / Asset Category
"Bristol, City of",2/2/2024,13775,Land-Industrial,Severn Road - Development Site,Severn Road - Development Site Severn Road Chittening Bristol BS11 0YN,,,,BS11 0YN,Avonmouth & Lawrence Weston,353421,182063,Freehold,,Land only,,6.243495,,Investment Properties
"Bristol, City of",2/2/2024,8446,Offices,Symes House Housing Office,Symes House Housing Office Peterson Square Hartcliffe Bristol BS13 0EE,,Peterson Square,Bristol,BS13 0EE,Hartcliffe & Withywood,358432,167456,Freehold,,Land and Building(s),1160.1,0.081501,Yes,Direct Service
"Bristol, City of",2/2/2024,7920,Telecommunications Aerials/Masts,BBC TV Relay Station Site,BBC TV Relay Station Site Ilchester Crescent Bedminster Down Bristol BS13 7HU,,Ilchester Crescent,Bristol,BS13 7HU,Bishopsworth,357700,170064,Freehold,,Land only,,0.099766,,Investment Properties
"Bristol, City of",2/2/2024,7880,Offices,Bristol Register Office,Bristol Register Office Old Council House Corn Street City Centre Bristol BS1 1HT,,Corn Street,Bristol,BS1 1HT,Central,358867,173053,Freehold,,Land and Building(s),2062,0.0934,Yes,Direct Service
"Bristol, City of",2/2/2024,4494,Scout/Guide Building,Bishport Avenue - Scout Premises,Bishport Avenue - Scout Premises Bishport Avenue Hartcliffe Bristol BS13 9LW,,,,BS13 9LW,Hartcliffe & Withywood,357847,167529,Freehold,,Land and Building(s),,0.118481,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,130079,Library,Ridingleaze House,Ridingleaze House Ridingleaze Bristol BS11 0QE,,Ridingleaze,Bristol,BS11 0QE,Avonmouth & Lawrence Weston,354343,178233,Freehold,,Land and Building(s),,0.000313,Yes,Direct Service
"Bristol, City of",2/2/2024,4425,Land-Garden,Shirehampton Road - Land At Rear Of 181,Shirehampton Road - Land At Rear Of 181 Shirehampton Road Sea Mills Bristol,181,Shirehampton Road,Bristol,BS9 2EQ,Avonmouth & Lawrence Weston,354819,176896,Freehold,,Land only,,0.0213,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,8967,Land-Car/Lorry Park,Mark Lane - Car Parking Spaces,Mark Lane - Car Parking Spaces Mark Lane City Centre Bristol BS1 4XR,,,,BS1 4XR,Central,358487,172799,Freehold,,Land only,,0.003116,,Investment Properties
"Bristol, City of",2/2/2024,8317,Shop/Kiosk,131 St Georges Road,131 St Georges Road City Centre Bristol BS1 5UW,131,St Georges Road,Bristol,BS1 5UW,Hotwells & Harbourside,357893,172616,Freehold Reversion,,Land and Building(s),0,0.008906,,Investment Properties
"Bristol, City of",2/2/2024,8322,Shop/Kiosk,139 St Georges Road - Second Floor,139 St Georges Road - Second Floor City Centre Bristol BS1 5UW,139,St Georges Road,Bristol,BS1 5UW,Hotwells & Harbourside,357879,172625,Freehold,,Land and Building(s),,0.006069,,Investment Properties
"Bristol, City of",2/2/2024,7673,Public Conveniences,Victoria Park Public Conveniences,Victoria Park Public Conveniences Park Lodge Somerset Terrace Bedminster Bristol BS3 4LL,,Somerset Terrace,Bristol,BS3 4LL,Windmill Hill,359102,171394,Freehold,,Land and Building(s),30.8,0.004472,,Surplus / Non-operational / Under Review
"Bristol, City of",2/2/2024,7645,Land-Playingfield/Playground/Sports,Bristol Croquet Club,Bristol Croquet Club Cedar Park Stoke Bishop Bristol BS9 1BW,,Cedar Park,Bristol,BS9 1BW,Stoke Bishop,355695,176287,Freehold,,Land only,,0.442998,,Investment Properties
"Bristol, City of",2/2/2024,117743,Church/Religious Building,Arnos Vale Cemeterty - Non Conformist Chapel,Arnos Vale Cemeterty - Non Conformist Chapel Bath Road Brislington Bristol BS4 3EW,,Bath Road,Bristol,BS4 3EW,Knowle,360807,171540,Freehold,,Land and Building(s),,0.012753,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,117745,Church/Religious Building,Arnos Vale Cemetery - Anglican Chapel,Arnos Vale Cemetery - Anglican Chapel Bath Road Brislington Bristol BS4 3EW,,Bath Road,Bristol,BS4 3EW,Knowle,360850,171490,Freehold,,Land and Building(s),,0.017249,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,117749,Offices,Arnos Vale Cemetery - West Lodge,Arnos Vale Cemetery - West Lodge Bath Road Brislington Bristol BS4 3EW,,Bath Road,Bristol,BS4 3EW,Knowle,360823,171636,Freehold,,Land and Building(s),,0.008069,,Indirect Service / Non-Investment Letting(s)
"Bristol, City of",2/2/2024,10497,Store/Depot/Warehouse,Western Drive - Premises At,Western Drive - Premises At Hengrove Bristol BS14 0AF,,,,BS14 0AF,Hengrove & Whitchurch Park,359559,169050,Freehold,,Land and Building(s),3500,2.030563,,Investment Properties
"Bristol, City of",2/2/2024,10470,Store/Depot/Warehouse,Avonside Trading Estate - Unit 1,Avonside Trading Estate - Unit 1 Avonside Road St Philips Bristol BS2 0UQ,,Avonside Road,Bristol,BS2 0UQ,Lawrence Hill,361358,172513,Freehold,,Land and Building(s),8000,0.763203,,Investment Properties
"Bristol, City of",2/2/2024,10481,Store/Depot/Warehouse,Unit 5 Chapel Court,Unit 5 Chapel Court Chapel Street St Philips Marsh Bristol BS2 0UL,,Chapel Street,Bristol,BS2 0UL,Lawrence Hill,360270,172293,Freehold,,Land and Building(s),1150,0,,Investment Properties
"Bristol, City of",2/2/2024,10605,Store/Depot/Warehouse,85-93 Whitehouse Lane,85-93 Whitehouse Lane Bedminster Bristol BS3 4DN,89,Whitehouse Lane,Bristol,BS3 4DN,Southville,358846,171501,Freehold,,Land and Building(s),0,0.034979,,Investment Properties
"Bristol, City of",2/2/2024,10557,Petrol Station/Garage-Commercial,Unit A 22 Emery Road,Unit A 22 Emery Road Brislington Bristol BS4 5PF,22,Emery Road,Bristol,BS4 5PF,Brislington East,362653,170532,Freehold,,Land and Building(s),,0.086508,,Investment Properties
"Bristol, City of",2/2/2024,10569,Store/Depot/Warehouse,Hulbert Close - Premises At,Hulbert Close - Premises At Brislington Trading Estate Brislington Bristol BS4 5RY,,,,BS4 5RY,Brislington East,362970,170729,Freehold,,Land and Building(s),0,0.407663,,Investment Properties
