Organisation Name,Effective Date,Property ID,Property Type,Property Name,Property Name/Address (Where no UPRN),Street Number,Street,Town / Post Town,Postcode,Ward,Geo X (Easting),Geo Y (Northing),Tenure Type,Vacant,Holding Type,Building Size - GIA (M2),Site Area (Hectares),Occupied by Council / Direct Service Property,Purpose / Asset Category
"Bristol, City of",25/01/2016,973,House/Houses,Waycroft Academy House,Waycroft Academy House Selden Road Stockwood Bristol BS14 8PS,,Selden Road,Bristol,BS14 8PS,Stockwood,362193,168384,Freehold Reversion,,Building,84.1,0.058564,,Land and Buildings
"Bristol, City of",25/01/2016,976,E P Home/Dwellings,Greville EPH (PwD),,,,,BS14 ,Stockwood,,,Freehold,Vacant,Building,1446,0.6909,Yes,Land and Buildings
"Bristol, City of",25/01/2016,978,Primary School,Merchants Academy Primary School,Merchants Academy Primary School Withywood Road Withywood Bristol BS13 9AX,,Withywood Road,Bristol,BS13 9AX,Hartcliffe,357012,167875,Freehold,,Building,,2.337226,,Land and Buildings
"Bristol, City of",25/01/2016,979,House/Houses,Gay Elms Primary School House,,,,,BS13 ,Hartcliffe,,,Freehold,Vacant,Building,80.1,0.041073,Yes,Land and Buildings
"Bristol, City of",25/01/2016,985,House/Houses,Four Acres Primary School House,Four Acres Primary School House 93 Four Acres Withywood Bristol BS13 8RB,93,Four Acres,Bristol,BS13 8RB,Bishopsworth,356375,167849,Freehold,,Building,,0.0327,,Land and Buildings
"Bristol, City of",25/01/2016,988,Residential Home,199 Newland Road,,,,,BS13 ,Hartcliffe,,,Freehold,Vacant,Building,316.5,0.1177,,Surplus
"Bristol, City of",25/01/2016,994,Primary School,Wansdyke Primary School,Wansdyke Primary School School Close Whitchurch Bristol BS14 0DU,,School Close,Bristol,BS14 0DU,Whitchurch Park,359736,167686,Freehold,,Building,1190.7,1.218631,Yes,Land and Buildings
"Bristol, City of",25/01/2016,995,Day Nursery,Former School House - Whitchurch Under 5's,Former School House - Whitchurch Under 5's 1 School Close Whitchurch Bristol BS14 0DU,1,School Close,Bristol,BS5 6EB,Whitchurch Park,359725,167725,Freehold,,Building,92,0.03667,,Land and Buildings
"Bristol, City of",25/01/2016,1000,House Service Occupancy,Teyfant Primary School (Former) - School House,Teyfant Primary School (Former) - School House Teyfant Road Hartcliffe Bristol BS13 0RG,,Teyfant Road,Bristol,BS13 0RF,Whitchurch Park,359046,167537,Freehold,,Building,,0.027271,Yes,Land and Buildings
"Bristol, City of",25/01/2016,1129,Industrial/Workshop,Bridge View House,Bridge View House Albert Road St Philips Marsh Bristol BS2 0XS,,Albert Road,Bristol,BS2 0XS,Lawrence Hill,360375,171829,Freehold,,Building,,0.005178,,Land and Buildings
"Bristol, City of",25/01/2016,1148,Primary School,St Michaels On The Mount CE VC School - School Buildings ,St Michaels On The Mount CE VC School - School Buildings  Park Lane Bristol BS2 8BE,,Park Lane,Bristol,BS2 8BE,Cabot,358481,173230,Education Acts Agt,,Building,843.58,0.116192,Yes,Land and Buildings
"Bristol, City of",25/01/2016,1470,Land-Car/Lorry Park,McAdam Way Public Car Park,McAdam Way Public Car Park Brunswick Place Hotwells Bristol BS1 6XL,,Brunswick Place,Bristol,BS1 6XL,Cabot,356965,172225,Freehold,,Land,,0.059855,Yes,Land and Buildings
"Bristol, City of",25/01/2016,1358,Land-Verge,Wedmore Vale - Land Fronting 32,Wedmore Vale - Land Fronting 32 Wedmore Vale Bedminster Bristol,32,Wedmore Vale,Bristol,BS3 5HX,Filwood,359117,170765,Freehold,,Land,,0.0016,,Infrastructure
"Bristol, City of",25/01/2016,1261,Land-Verge,Dorset Road - Land Adj 15,Dorset Road - Land Adj 15 Dorset Road Henleaze Bristol,15,Dorset Road,Bristol,BS9 4BJ,Henleaze,357792,176957,Freehold,,Land,,0.001233,,Infrastructure
"Bristol, City of",25/01/2016,1010,Community Centre/Facilities,Whitchurch Folk Centre,Whitchurch Folk Centre East Dundry Road Whitchurch Bristol BS14 0LN,,East Dundry Road,Bristol,BS14 0LN,Hengrove,360392,167478,Freehold,,Building,404.2,0.317721,,Land and Buildings
"Bristol, City of",25/01/2016,1014,Special School,Lansdown Park Secondary Specialist Provision,Lansdown Park Secondary Specialist Provision Stockwood Lane Stockwood Bristol BS14 8SJ,,Stockwood Lane,Bristol,BS14 8SJ,Stockwood,362202,167897,Freehold,,Building,1010,1.789573,Yes,Land and Buildings
"Bristol, City of",25/01/2016,1015,Youth Club/Centre,BS14 Youth Club,BS14 Youth Club Stockwood Lane Bristol BS14 8SJ,,Stockwood Lane,Bristol,BS14 8SJ,Stockwood,362261,167789,Freehold,,Building,601,0.373559,,Land and Buildings
"Bristol, City of",25/01/2016,1016,House Service Occupancy,Lansdown Park School Caretakers Bungalow,,,,,BS14 ,Stockwood,,,Freehold,Vacant,Building,84,0.047192,Yes,Land and Buildings
"Bristol, City of",25/01/2016,1029,Primary School,Hareclive Primary School,Hareclive Primary School Moxham Drive Hartcliffe Bristol BS13 0HP,,Moxham Drive,Bristol,BS13 0HP,Whitchurch Park,358190,167659,Freehold,,Building,,2.353481,,Land and Buildings
"Bristol, City of",25/01/2016,1030,Nursery School,Hartcliffe Nursery School And Childrens Centre,Hartcliffe Nursery School And Childrens Centre Hareclive Road Hartcliffe Bristol BS13 0JW,,Hareclive Road,Bristol,BS13 0JW,Whitchurch Park,358261,167734,Freehold,,Building,1187.2,0.654792,Yes,Land and Buildings
"Bristol, City of",25/01/2016,1033,Youth Club/Centre,Hareclive Youth Centre,Hareclive Youth Centre Moxham Drive Hartcliffe Bristol BS13 0HP,,Moxham Drive,Bristol,BS13 0HP,Whitchurch Park,358177,167741,Freehold,,Building,614,0.202174,Yes,Land and Buildings
"Bristol, City of",25/01/2016,1034,Community Centre/Facilities,Hartcliffe Community House,Hartcliffe Community House Hareclive Road Hartcliffe Bristol BS13 0JW,,Hareclive Road,Bristol,BS13 0JW,Whitchurch Park,358173,167688,Freehold,,Building,1166.8,0.275683,,Land and Buildings
"Bristol, City of",25/01/2016,1040,Community Centre/Facilities,Greenway Centre,Greenway Centre Doncaster Road Southmead Bristol BS10 5PY,,Doncaster Road,Bristol,BS10 5PY,Southmead,357790,178000,Freehold,,Building,4923.79,3.827223,,Land and Buildings
"Bristol, City of",25/01/2016,1041,Primary School,Badocks Wood Primary School,Badocks Wood Primary School Doncaster Road Southmead Bristol BS10 5PU,,Doncaster Road,Bristol,BS10 5PU,Southmead,357760,177982,Freehold,,Building,2812.19,2.112623,Yes,Land and Buildings
"Bristol, City of",25/01/2016,1045,Library,Henbury Library,Henbury Library 179 Crow Lane Henbury Bristol BS10 7DR,,Crow Lane,Bristol,BS10 7DR,Henbury,357107,179160,Freehold,,Building,436,0.1076,Yes,Land and Buildings
"Bristol, City of",25/01/2016,1049,House Service Occupancy,Stoke Bishop CE VC School House,Stoke Bishop CE VC School House 18 Lyndale Avenue Stoke Bishop Bristol BS9 1BS,18,Lyndale Avenue,Bristol,BS9 1BS,Stoke Bishop,355638,176304,Freehold,,Building,96.7,0,,Land and Buildings
"Bristol, City of",25/01/2016,809,Store/Depot/Warehouse,801 Bath Road,801 Bath Road Brislington Bristol BS4 5NL,801,Bath Road,Bristol,BS4 5NL,Brislington East,362231,170485,Freehold,,Building,,0.2148,,Land and Buildings
"Bristol, City of",25/01/2016,710,Flat/Flats,Holy Cross RC VA Primary School Flat,Holy Cross RC VA Primary School Flat Dean Lane Bedminster Bristol BS3 1DB,14,Withey Close West,Bristol,BS9 3SX,Southville,358396,171788,Education Acts Agt,,Building,,0.000313,Yes,Land and Buildings
"Bristol, City of",25/01/2016,713,Community Centre/Facilities,ACTA,ACTA Stanley Street Bedminster Bristol BS3 3LU,,Stanley Street,Bristol,BS3 3LU,Bedminster,358026,171319,Freehold,,Building,,0.168042,,Land and Buildings
"Bristol, City of",25/01/2016,132560,Primary School,Compass Point - South Street Primary School And Childrens Centre,Compass Point - South Street Primary School And Childrens Centre South Street Bedminster Bristol BS3 3AU,,South Street,Bristol,BS3 3AU,Bedminster,358017,171210,Management Agreement,,Building,2831,1.372663,Yes,Land and Buildings
"Bristol, City of",25/01/2016,715,House/Houses,Compass Point Primary School House,Compass Point Primary School House 124 British Road Bedminster Bristol BS3 3BZ,124,British Road,Bristol,BS3 3BZ,Bedminster,357989,171110,Freehold,,Building,83.65,0.012301,,Land and Buildings
"Bristol, City of",25/01/2016,732,Primary School,Hillcrest Primary School,Hillcrest Primary School School Road Knowle Bristol BS4 3BW,,Cemetery Road,Bristol,BS4 3BW,Windmill Hill,360197,171408,Freehold,,Building,2021.38,0.538212,Yes,Land and Buildings
"Bristol, City of",25/01/2016,739,Store/Depot/Warehouse,Brislington Transport Depot,Brislington Transport Depot Bath Road / Sandy Park Road Brislington Bristol BS4 3EZ,,Bath Road,Bristol,BS4 3EZ,Brislington West,361301,171633,Freehold,,Building,10213.3,2.352027,Yes,Land and Buildings
"Bristol, City of",25/01/2016,744,Library,Wick Road Library,Wick Road Library Wick Road Brislington Bristol BS4 4HE,,Wick Road,Bristol,BS4 4HE,Brislington East,361752,171289,Freehold,,Building,209.3,0.0583,Yes,Land and Buildings
"Bristol, City of",25/01/2016,746,Primary School,Holymead Primary School,Holymead Primary School Hollywood Road Bristol BS4 4LE,,Hollywood Road,Bristol,BS4 4LE,Brislington East,361941,170971,Freehold,,Building,4032.5,0.958276,Yes,Land and Buildings
"Bristol, City of",25/01/2016,747,House Service Occupancy,The School House,The School House Holymead Junior School Rossall Road Brislington Bristol BS4 3NR,,Rossall Road,Bristol,BS4 3NR,Brislington West,361675,171168,Freehold,,Building,116.2,0.012546,Yes,Land and Buildings
"Bristol, City of",25/01/2016,754,Primary School,Broomhill Junior School,Broomhill Junior School Allison Road Brislington Bristol BS4 4NZ,,Allison Road,Bristol,BS4 4NZ,Brislington East,362680,171253,Freehold,,Building,2055.6,1.782695,Yes,Land and Buildings
"Bristol, City of",25/01/2016,755,Primary School,Broomhill Infants School,Broomhill Infants School Fermaine Avenue Brislington Bristol BS4 4UY,,Fermaine Avenue,Bristol,BS4 4UY,Brislington East,362738,171300,Freehold,,Building,1228.2,0.698771,Yes,Land and Buildings
"Bristol, City of",25/01/2016,759,Hostels For Disabled,40 School Road,40 School Road Brislington Bristol BS4 4NN,40,School Road,Bristol,BS4 4NN,Brislington East,362358,171304,Freehold,,Building,302.8,0.2962,Yes,Surplus
"Bristol, City of",25/01/2016,760,Community Centre/Facilities,Ashton Vale Community Centre,Ashton Vale Community Centre Risdale Road Ashton Vale Bristol BS3 2QY,,Risdale Road,Bristol,BS3 2QY,Bedminster,356615,170499,Freehold,,Building,259.3,0.14,,Land and Buildings
"Bristol, City of",25/01/2016,761,Childrens Homes,63a Silbury Road,63a Silbury Road Ashton Vale Bristol BS3 2QE,63,Silbury Road,Bristol,BS3 2QE,Bedminster,356558,170844,Freehold,,Building,189,0.123581,Yes,Land and Buildings
"Bristol, City of",25/01/2016,132561,Primary School,Ashton Vale Primary School,Ashton Vale Primary School Avebury Road Ashton Vale Bristol BS3 2QG,,Avebury Road,Bristol,BS3 2QG,Bedminster,356549,170734,Management Agreement,,Building,1521.7,0.913558,Yes,Land and Buildings
"Bristol, City of",25/01/2016,660,Nursery School,St Philips Marsh Nursery School,St Philips Marsh Nursery School Albert Crescent St Philips Bristol BS2 0SU,,Albert Crescent,Bristol,BS2 0SU,Lawrence Hill,360536,172193,Freehold,,Building,714,0.247861,Yes,Land and Buildings
"Bristol, City of",25/01/2016,663,Special School,Meriton Centre,Meriton Centre Meriton Street St Philips Marsh Bristol BS2 0SU,,Meriton Street,Bristol,BS2 0SZ,Lawrence Hill,360531,172212,Freehold,,Building,404.8,0.079198,Yes,Land and Buildings
"Bristol, City of",25/01/2016,673,Primary School,The Kingfisher School,The Kingfisher School Lichfield Road St Annes Park Bristol BS4 4BJ,,Lichfield Road,Bristol,BS4 4BJ,Brislington East,362358,172458,Freehold,,Building,1554.31,0.79084,,Land and Buildings
"Bristol, City of",25/01/2016,674,House Service Occupancy,The Kingfisher School House,The Kingfisher School House Lichfield Road St Annes Park Bristol BS4 4BJ,,Lichfield Road,Bristol,BS4 4BJ,Brislington East,362329,172510,Freehold,,Building,81.3,0.065707,,Land and Buildings
"Bristol, City of",25/01/2016,132559,Secondary School,Ashton Park Secondary School,Ashton Park Secondary School Blackmoors Lane Ashton Bristol BS3 2JL,,Blackmoors Lane,Bristol,BS3 2JL,Southville,356124,171480,Management Agreement,,Building,13730.27,10.766959,Yes,Land and Buildings
"Bristol, City of",25/01/2016,684,House/Houses,Ashton Park School House,Ashton Park School House Blackmoors Lane Bristol BS3 2JL,,Blackmoors Lane,Bristol,BS3 2JJ,Southville,356347,171465,Freehold,,Building,116.7,0.035447,,Land and Buildings
"Bristol, City of",25/01/2016,689,Primary School,Southville Primary School,Southville Primary School Myrtle Annexe Myrtle Street Southville Bristol BS3 1JG,,Myrtle Street,Bristol,BS3 1JG,Southville,357779,171521,Freehold,,Building,1573.3,0.514845,,Assets Under Construction
"Bristol, City of",25/01/2016,690,Primary School,Princess Elizabeth Club - Former,Princess Elizabeth Club - Former 31-33 Myrtle Street Bedminster Bristol BS3 1JG,,Myrtle Street,Bristol,BS3 1JG,Southville,357787,171469,Freehold,,Building,239,0.109675,,Assets Under Construction
"Bristol, City of",25/01/2016,692,Primary School,Ashton Gate Primary School,Ashton Gate Primary School Ashton Gate Road Ashton Gate Bristol BS3 1SZ,,Ashton Gate Road,Bristol,BS3 1SZ,Southville,357389,171752,Freehold,,Building,2929.9,0.552721,Yes,Land and Buildings
"Bristol, City of",25/01/2016,132564,Primary School,Luckwell Primary School,Luckwell Primary School Luckwell Road Bedminster Bristol BS3 3ET,,Luckwell Road,Bristol,BS3 3ET,Bedminster,357503,171111,Management Agreement,,Building,1502.4,0.781972,Yes,Land and Buildings
"Bristol, City of",25/01/2016,705,Primary School,Southville Primary School,Southville Primary School Merrywood Road Southville Bristol BS3 1EB,,Merrywood Road,Bristol,BS3 1EB,Southville,358108,171756,Freehold,,Building,1364.2,0.339358,Yes,Land and Buildings
"Bristol, City of",25/01/2016,709,Primary School,Holy Cross RC VA Primary School - School Buildings And Part Of Playing Field,Holy Cross RC VA Primary School - School Buildings And Part Of Playing Field Dean Lane Bedminster Bristol BS3 1DB,,Dean Lane,Bristol,BS3 1DB,Southville,358481,171764,Education Acts Agt,,Building,1459.5,0.605571,Yes,Land and Buildings
"Bristol, City of",25/01/2016,648,Nursery School,Redcliffe Childrens Centre And Maintained Nursery School,Redcliffe Childrens Centre And Maintained Nursery School Ground Floor Spencer House Ship Lane Redcliffe Bristol BS1 6RR,,Ship Lane,Bristol,BS1 6RR,Lawrence Hill,359169,172042,Leasehold,,Building,628,0.138659,Yes,Land and Buildings
"Bristol, City of",25/01/2016,650,Secondary School,St Mary Redcliffe And Temple CE VA Secondary School,St Mary Redcliffe And Temple CE VA Secondary School Somerset Square Redcliffe Bristol BS1 6RT,,Somerset Square,Bristol,BS1 6RS,Lawrence Hill,359228,172090,Education Acts Agt,,Building,2936.7,2.090707,Yes,Land and Buildings
"Bristol, City of",25/01/2016,654,Primary School,Barton Hill Primary School,Barton Hill Primary School Queen Ann Road Barton Hill Bristol BS5 9TX,,Queen Ann Road,Bristol,BS5 9TX,Lawrence Hill,360788,172880,Freehold,,Building,3413.9,1.542799,,Land and Buildings
"Bristol, City of",25/01/2016,967,Land-Car/Lorry Park,Harden Road Public Car Park,Harden Road Public Car Park Harden Road Stockwood Bristol BS14 8PL,,Harden Road,Bristol,BS14 8PL,Stockwood,362076,168326,Freehold,,Land,,0.0683,Yes,Land and Buildings
"Bristol, City of",25/01/2016,968,E P Home/Dwellings,Bowmead EPH,,,,,BS14 ,Stockwood,,,Freehold,Vacant,Building,1756,0.387334,Yes,Land and Buildings
"Bristol, City of",25/01/2016,969,Offices,Bowmead Bungalow,,,,,BS14 ,Stockwood,,,Freehold,Vacant,Building,94.5,0.074379,Yes,Land and Buildings
"Bristol, City of",25/01/2016,894,Childrens Homes,89 Tarnock Avenue,89 Tarnock Avenue Hengrove Bristol BS14 9RZ,89,Tarnock Avenue,Bristol,BS14 9RZ,Hengrove,360175,169164,Freehold,,Building,346.6,0.11399,Yes,Land and Buildings
"Bristol, City of",25/01/2016,899,Community Centre/Facilities,Sturminster Road Community Centre And Car Park,Sturminster Road Community Centre And Car Park Sturminster Road Stockwood Bristol BS14 8AU,,Sturminster Road,Bristol,BS14 8AU,Stockwood,361587,169084,Freehold,,Building,624.9,0.178328,,Land and Buildings
"Bristol, City of",25/01/2016,912,House Service Occupancy,St Peters CE VC Primary School House,St Peters CE VC Primary School House Ellfield Close Bishopsworth Bristol BS13 8EF,,Ellfield Close,Bristol,BS13 8EF,Bishopsworth,356844,168745,Freehold,,Building,84.3,0.041852,Yes,Land and Buildings
"Bristol, City of",25/01/2016,919,Community Centre/Facilities,Headley Park Community Centre,Headley Park Community Centre Headley Lane Headley Park Bristol BS13 7NW,,Headley Park Avenue,Bristol,BS13 7NW,Hartcliffe,357634,168949,Freehold,,Building,396.8,0.102831,,Land and Buildings
"Bristol, City of",25/01/2016,920,Primary School,Headley Park Primary School,Headley Park Primary School Headley Lane Headley Park Bristol BS13 7QB,,Headley Lane,Bristol,BS13 7QB,Hartcliffe,357709,168949,Freehold,,Building,2328.3,2.270429,Yes,Land and Buildings
"Bristol, City of",25/01/2016,921,House/Houses,Headley Park Primary School House,Headley Park Primary School House Headley Lane Headley Park Bristol BS13 7QB,,Headley Park Avenue,Bristol,BS13 7QB,Hartcliffe,357738,168990,Freehold,,Building,89,0.040756,Yes,Land and Buildings
"Bristol, City of",25/01/2016,570,Secondary School,The City Academy ,The City Academy  Russell Town Avenue  Moorfields Bristol  BS5 9JH,,Russell Town Avenue,Bristol,BS5 9JH,Easton,361105,173625,Freehold,,Building,,4.657278,,Land and Buildings
"Bristol, City of",25/01/2016,573,Childrens Centre,Easton Community Childrens Centre,Easton Community Childrens Centre Russell Town Avenue Moorfields Bristol BS5 9JF,,Russell Town Avenue,Bristol,BS5 9JF,Easton,361049,173684,Freehold,,Building,0,0.159685,,Land and Buildings
"Bristol, City of",25/01/2016,584,Offices,Redfield House,,,,,BS5 ,Easton,,,Freehold,Vacant,Building,161,0.0195,,Surplus
"Bristol, City of",25/01/2016,585,Offices,Beam Street Former Adult Community Care Office,Beam Street Former Adult Community Care Office Beam Street Barton Hill Bristol BS5 9QY,,Beam Street,Bristol,BS5 9QY,Easton,361115,173056,Freehold,,Building,1568.6,0.248525,Yes,Land and Buildings
"Bristol, City of",25/01/2016,588,Primary School,Redfield Educate Together Primary Academy,Redfield Educate Together Primary Academy Avonvale Road Redfield Bristol BS5 9RH,,Avonvale Road,Bristol,BS5 9RH,Easton,361517,173342,Freehold,,Building,,0.4129,,Land and Buildings
"Bristol, City of",25/01/2016,590,Library,St George Library,St George Library Church Road St George Bristol BS5 8AL,,Church Road,Bristol,BS5 8AL,St George West,362291,173650,Freehold,,Building,327.5,0.228075,Yes,Land and Buildings
"Bristol, City of",25/01/2016,964,Childrens Homes,Lacey House,Lacey House 97 Lacey Road Stockwood Bristol BS14 8NB,97,Lacey Road,Bristol,BS14 8NB,Stockwood,362737,168730,Freehold,,Building,211,0.1035,Yes,Land and Buildings
"Bristol, City of",25/01/2016,966,Library,Stockwood Library,Stockwood Library Stockwood Road Stockwood Bristol BS14 8PL,,Stockwood Road,Bristol,BS14 8PL,Stockwood,362048,168329,Freehold,,Building,393,0.107,Yes,Land and Buildings
"Bristol, City of",25/01/2016,1151,Primary School,St Michaels On The Mount CE VC School,St Michaels On The Mount CE VC School Playground No 1 And Amphitheatre Upper Church Lane St Michaels Bristol BS2 8BE,,Park Lane,Bristol,BS2 8BE,Cabot,358481,173230,Freehold,,Land,,0.155416,Yes,Land and Buildings
"Bristol, City of",25/01/2016,1153,House Service Occupancy,Broomhill Junior Infants School House,Broomhill Junior Infants School House 217 Allison Road Bristol BS4 4PA,217,Allison Road,Bristol,BS4 4PA,Brislington East,362619,171340,Freehold,,Building,84.6,0.0186,Yes,Land and Buildings
"Bristol, City of",25/01/2016,1422,Land-Car/Lorry Park,Callington Road Public Car Park,Callington Road Public Car Park West Town Lane Brislington Bristol BS4 5BE,,West Town Lane,Bristol,BS4 5BE,Brislington West,362125,170473,Freehold,,Land,,0.047508,Yes,Land and Buildings
"Bristol, City of",25/01/2016,828,Library,Bishopsworth Library,Bishopsworth Library Bishopsworth Road Bishopsworth Bristol BS13 7LN,,Bishopsworth Road,Bristol,BS13 7LN,Bishopsworth,357200,169070,Freehold,,Building,257,0.1421,Yes,Land and Buildings
"Bristol, City of",25/01/2016,829,Special School,Knowle DGE Special School,Knowle DGE Special School Leinster Avenue  Knowle  Bristol  BS4 1NN,,Leinster Avenue,Bristol,BS4 1NN,Filwood,358670,169718,Freehold,,Building,,4.475016,Yes,Land and Buildings
"Bristol, City of",25/01/2016,831,Nursery School,Knowle West Childrens Centre,Knowle West Childrens Centre Leinster Avenue Knowle Bristol BS4 1NN,,Leinster Avenue,Bristol,BS4 1NN,Filwood,358758,169742,Freehold,,Building,1005.9,0.678423,Yes,Land and Buildings
"Bristol, City of",25/01/2016,133262,Primary School,St Pius X RC VA Primary School - Playing Field,St Pius X RC VA Primary School - Playing Field Gatehouse Avenue Withywood Bristol BS13 9AB,,Gatehouse Avenue,Bristol,BS13 9AB,Hartcliffe,357100,168096,Freehold,,Building,,0.7006,Yes,Land and Buildings
"Bristol, City of",25/01/2016,847,Day Centre,Bristol Community Links South Day Centre,Bristol Community Links South Day Centre Langhill Avenue Knowle Bristol BS4 1TN,,Langhill Avenue,Bristol,BS4 1TN,Filwood,358474,169066,Freehold,,Building,2376,0.4712,Yes,Land and Buildings
"Bristol, City of",25/01/2016,851,House/Houses,Greenfield Primary School House,Greenfield Primary School House Novers Lane Knowle West Bristol BS4 1QW,,Novers Lane,Bristol,BS4 1QW,Filwood,358459,169319,Freehold,,Building,,0.04265,,Land and Buildings
"Bristol, City of",25/01/2016,770,Library,Marksbury Road Library,Marksbury Road Library Marksbury Road Bedminster Bristol BS3 5LG,,Marksbury Road,Bristol,BS3 5LG,Bedminster,358227,170695,Freehold,,Building,167.1,0.0821,Yes,Land and Buildings
"Bristol, City of",25/01/2016,771,Primary School,Parson Street Primary School,Parson Street Primary School Bedminster Road Bedminster Bristol BS3 5NR,,Bedminster Road,Bristol,BS3 5NR,Bedminster,358025,170555,Freehold,,Building,,0.756742,,Land and Buildings
"Bristol, City of",25/01/2016,772,House/Houses,Parson Street School Caretakers House,Parson Street School Caretakers House 46 Parson Street Bedminster Bristol BS3 5QG,46,Parson Street,Bristol,BS3 5QG,Bedminster,358004,170492,Freehold,,Building,93.8,0.0392,,Land and Buildings
