Organisation Name,Effective Date,Property ID,Property Type,Property Name,Property Name/Address (Where no UPRN),Street Number,Street,Town / Post Town,Postcode,Ward,Geo X (Easting),Geo Y (Northing),Tenure Type,Vacant,Holding Type,Building Size - GIA (M2),Site Area (Hectares),Occupied by Council / Direct Service Property,Purpose / Asset Category
"Bristol, City of",25/01/2016,10315,Industrial/Workshop,Big Yellow Self Storage,Big Yellow Self Storage Barrow Road Barton Hill Bristol BS5 0AE,,Barrow Road,Bristol,BS5 0AE,Lawrence Hill,360524,173023,Freehold,,Building,,0.587545,,Investment Properties
"Bristol, City of",25/01/2016,116289,Offices,Fishponds Health Centre,Fishponds Health Centre Beechwood Road Fishponds Bristol BS16 3TD,,Beechwood Road,Bristol,BS16 3TD,Frome Vale,363511,175802,Informal Agreement,,Building,,0.000313,Yes,Land and Buildings
"Bristol, City of",25/01/2016,1931,Land-Industrial,Albert Crescent - Land At,Albert Crescent - Land At St Philips Bristol,,Albert Crescent,Bristol,BS2 0SU,Lawrence Hill,360475,172230,Freehold,,Land,,0.141707,,Land and Buildings
"Bristol, City of",25/01/2016,1898,Primary School,St George C Of E VC Primary School Annexe,St George C Of E VC Primary School Annexe York Place City Centre Bristol BS1 5UT,,Queens Parade,Bristol,BS1 5XH,Cabot,358040,172694,Education Acts Agt,,Building,,0,Yes,Land and Buildings
"Bristol, City of",25/01/2016,84098,Day Nursery,Community Nursery,Community Nursery Thicket Avenue Fishponds Bristol BS16 4EH,,Thicket Avenue,Bristol,BS16 4EH,Hillfields,364000,175225,Freehold,,Land,,0.092959,,Land and Buildings
"Bristol, City of",25/01/2016,1007,Childrens Homes,2 Witch Hazel Road,2 Witch Hazel Road Hartcliffe Bristol BS13 0QE,2,Witch Hazel Road,Bristol,BS13 0QE,Whitchurch Park,359212,167321,Freehold,,Building,234,0.069034,Yes,Land and Buildings
"Bristol, City of",25/01/2016,1008,Primary School,Bridge Farm Primary School,Bridge Farm Primary School East Dundry Road Whitchurch Bristol BS14 0LL,,East Dundry Road,Bristol,BS14 0LL,Hengrove,360395,167559,Freehold,,Building,3069.3,2.379223,Yes,Land and Buildings
"Bristol, City of",25/01/2016,936,Youth Club/Centre,Hartcliffe Club For Young People,Hartcliffe Club For Young People Gatehouse Avenue Hartcliffe Bristol BS13 9AE,,Gatehouse Avenue,Bristol,BS13 9AE,Hartcliffe,357459,168180,Leasehold,,Building,158.6,0.21672,,Land and Buildings
"Bristol, City of",25/01/2016,937,Primary School,St Pius X RC VA Primary School - School Buildings,St Pius X RC VA Primary School - School Buildings Gatehouse Avenue Withywood Bristol BS13 9AB,,Gatehouse Avenue,Bristol,BS13 9AB,Hartcliffe,357100,168096,Education Acts Agt,,Building,1495,0.563277,Yes,Land and Buildings
"Bristol, City of",25/01/2016,938,House/Houses,St Pius X RC VA Primary School House,St Pius X RC VA Primary School House Gatehouse Avenue Withywood Bristol BS13 9AB,,Gatehouse Avenue,Bristol,BS13 9AB,Hartcliffe,357100,168096,Education Acts Agt,,Building,,0.044093,Yes,Land and Buildings
"Bristol, City of",25/01/2016,940,Special School,Whitehouse Centre,,,,,BS13 ,Hartcliffe,,,Freehold,Vacant,Building,2076.3,2.556539,,Surplus
"Bristol, City of",25/01/2016,945,Community Centre/Facilities,Hengrove Community Centre,Hengrove Community Centre Fortfield Road Hengrove Bristol BS14 9NX,,Fortfield Road,Bristol,BS14 9NX,Hengrove,360710,168749,Freehold,,Building,428.9,0.1513,,Land and Buildings
"Bristol, City of",25/01/2016,946,Youth Club/Centre,Fortfield Road - Youth Centre Building,Fortfield Road - Youth Centre Building Hengrove Bristol BS14 9NX,,Fortfield Road,Bristol,BS14 9NX,Hengrove,360721,168781,Freehold,,Building,277.1,0.0852,,Land and Buildings
"Bristol, City of",25/01/2016,949,House/Houses,St Bernadettes RC VA Primary School House,St Bernadettes RC VA Primary School House 17 Gladstone Road Hengrove Bristol BS14 9LP,17,Gladstone Road,Bristol,BS14 9LP,Hengrove,360909,168735,Education Acts Agt,,Building,,0.045447,Yes,Land and Buildings
"Bristol, City of",25/01/2016,950,House Service Occupancy,St Bernadettes RC SA Secondary School House,St Bernadettes RC SA Secondary School House Fossedale Avenue Hengrove Bristol BS14 9LS,,Fossedale Avenue,Bristol,BS13 9LS,Hengrove,360969,168732,Freehold,,Building,,0.0488,Yes,Land and Buildings
"Bristol, City of",25/01/2016,953,E P Home/Dwellings,Maesknoll EPH,,,,,BS14 ,Hengrove,,,Freehold,Vacant,Building,1532,0.755037,,Surplus
"Bristol, City of",25/01/2016,1064,Offices,York Court - Unit 6,,,,,BS2 ,Ashley,,,Leasehold,Vacant,Building,392,0,,Surplus
"Bristol, City of",25/01/2016,972,Primary School,Waycroft Academy ,Waycroft Academy  Selden Road  Stockwood  Bristol  BS14 8PS,,Selden Road,Bristol,BS14 8PS,Stockwood,362215,168343,Freehold Reversion,,Building,2573,3.007464,,Land and Buildings
